hour,date,total ride count,difference from mean
0,2015-06-14,6576,1.8070548718056623
0,2015-06-15,3144,-0.08183016256670354
0,2015-06-16,2242,-0.5782678959594407
0,2015-06-17,3767,0.2610531056191892
0,2015-06-18,3175,-0.0647685553214986
0,2015-06-19,4249,0.5263335795607627
0,2015-06-20,6719,1.8857584149045108
0,2015-06-21,6179,1.588556224181586
0,2015-06-22,2287,-0.5535010467325303
0,2015-06-23,2279,-0.5579040421506477
0,2015-06-24,2831,-0.2540973583005469
0,2015-06-25,3470,0.09759190072158062
0,2015-06-26,4553,0.693647405449224
0,2015-06-27,7588,2.3640337921975134
0,2015-06-28,8980,3.1301549949499416
0,2015-06-29,2608,-0.3768308555805695
0,2015-06-30,2307,-0.5424935581872368
1,2015-01-01,6001,1.490589576128474
1,2015-01-02,751,-1.3988761670110716
1,2015-01-03,1699,-0.8771212099641594
1,2015-01-04,2276,-0.5595551654324418
1,2015-01-05,648,-1.455564733019333
1,2015-01-06,548,-1.5106021757458006
1,2015-01-07,641,-1.4594173540101858
1,2015-01-08,838,-1.3509935918390448
1,2015-01-09,1109,-1.201842122050318
1,2015-01-10,2983,-0.17044044535631628
1,2015-01-11,4167,0.48120287652505933
1,2015-01-12,524,-1.5238111620001529
1,2015-01-13,596,-1.4841842032370962
1,2015-01-14,786,-1.379613062056808
1,2015-01-15,850,-1.3443890987118687
1,2015-01-16,1156,-1.1759745239688781
1,2015-01-17,3032,-0.14347209842034717
1,2015-01-18,3514,0.12180837552122634
1,2015-01-19,1171,-1.167718907559908
1,2015-01-20,500,-1.5370201482545052
1,2015-01-21,750,-1.3994265414383362
1,2015-01-22,764,-1.3917212994566308
1,2015-01-23,1175,-1.1655174098508492
1,2015-01-24,3746,0.249495242646631
1,2015-01-25,3636,0.18895405564751672
1,2015-01-26,544,-1.5128036734548593
1,2015-01-28,554,-1.5072999291822127
1,2015-01-29,771,-1.387868678465778
1,2015-01-30,1263,-1.1170844602515577
1,2015-01-31,4008,0.39369334258997596
1,2015-02-01,4469,0.6474159535589913
1,2015-02-02,904,-1.3146688796395762
1,2015-02-03,803,-1.3702566967933085
1,2015-02-04,868,-1.3344823590211046
1,2015-02-05,865,-1.3361334823028985
1,2015-02-06,1501,-0.9860953465625651
1,2015-02-07,3459,0.09153778202166919
1,2015-02-08,4253,0.5285350772698214
1,2015-02-09,554,-1.5072999291822127
1,2015-02-10,735,-1.4076821578473064
1,2015-02-11,932,-1.2992583956761654
1,2015-02-12,1094,-1.210097738459288
1,2015-02-13,2057,-0.6800871650034056
1,2015-02-14,4545,0.6892444100311066
1,2015-02-15,4757,0.8059237886112177
1,2015-02-16,2438,-0.47039450821556433
1,2015-02-17,955,-1.286599783849078
1,2015-02-18,1060,-1.2288104689862869
1,2015-02-19,1142,-1.1836797659505836
1,2015-02-20,1701,-0.87602046110963
1,2015-02-21,3956,0.36507387237221284
1,2015-02-22,4953,0.9137971763550942
1,2015-02-23,958,-1.2849486605672837
1,2015-02-24,944,-1.2926539025489892
1,2015-02-25,986,-1.269538176603873
1,2015-02-26,1102,-1.2056947430411706
1,2015-02-27,1534,-0.9679329904628308
1,2015-02-28,3787,0.2720605941644827
1,2015-03-01,4645,0.7442818527575741
1,2015-03-02,879,-1.328428240321193
1,2015-03-03,744,-1.4027287880019244
1,2015-03-04,930,-1.3003591445306948
1,2015-03-05,1230,-1.135246816351292
1,2015-03-06,1585,-0.9398638946723323
1,2015-03-07,3841,0.3017808132367752
1,2015-03-08,4315,0.5626582917602313
1,2015-03-09,847,-1.3460402219936627
1,2015-03-10,838,-1.3509935918390448
1,2015-03-11,1000,-1.2618329346221675
1,2015-03-12,1128,-1.191385007932289
1,2015-03-13,1729,-0.8606099771462191
1,2015-03-14,3459,0.09153778202166919
1,2015-03-15,3789,0.27316134301901207
1,2015-03-16,861,-1.3383349800119573
1,2015-03-17,837,-1.3515439662663096
1,2015-03-18,1269,-1.1137822136879698
1,2015-03-19,1255,-1.1214874556696752
1,2015-03-20,1575,-0.9453676389449791
1,2015-03-21,3592,0.16473758084787102
1,2015-03-22,4898,0.883526582855537
1,2015-03-23,838,-1.3509935918390448
1,2015-03-24,889,-1.3229244960485464
1,2015-03-25,1079,-1.2183533548682581
1,2015-03-26,1224,-1.1385490629148802
1,2015-03-27,2090,-0.6619248089036713
1,2015-03-28,4112,0.4509322830255022
1,2015-03-29,5837,1.4003281700570671
1,2015-03-30,825,-1.3581484593934856
1,2015-03-31,983,-1.2711892998856669
1,2015-04-01,1087,-1.2139503594501406
1,2015-04-02,1280,-1.1077280949880584
1,2015-04-03,2071,-0.6723819230217002
1,2015-04-04,2728,-0.31078592430880847
1,2015-04-05,3105,-0.10329476523002587
1,2015-04-06,720,-1.4159377742562764
1,2015-04-07,832,-1.354295838402633
1,2015-04-08,967,-1.2799952907219017
1,2015-04-09,1213,-1.1446031816147917
1,2015-04-10,1764,-0.8413468721919555
1,2015-04-11,3564,0.1493270968844601
1,2015-04-12,4973,0.9248046649003876
1,2015-04-13,857,-1.340536477721016
1,2015-04-14,866,-1.335583107875634
1,2015-04-15,1049,-1.2348645876861983
1,2015-04-16,1296,-1.0989221041518236
1,2015-04-17,1655,-0.901337684763805
1,2015-04-18,4220,0.5103727211700871
1,2015-04-19,5852,1.4085837864660373
1,2015-04-20,920,-1.3058628888033414
1,2015-04-21,1259,-1.1192859579606165
1,2015-04-22,1121,-1.1952376289231417
1,2015-04-23,1303,-1.0950694831609709
1,2015-04-24,1908,-0.7620929546658423
1,2015-04-25,4959,0.9170994229186822
1,2015-04-26,6349,1.6821198768165808
1,2015-04-27,996,-1.264034432331226
1,2015-04-28,1031,-1.2447713273769625
1,2015-04-29,1242,-1.128642323224116
1,2015-04-30,1417,-1.0323267984527977
1,2015-05-01,1895,-0.769247822220283
1,2015-05-02,4214,0.507070474606499
1,2015-05-03,7342,2.2286416830904034
1,2015-05-04,954,-1.2871501582763425
1,2015-05-05,1090,-1.2122992361683467
1,2015-05-06,1527,-0.9717856114536836
1,2015-05-07,1301,-1.0961702320155002
1,2015-05-08,1817,-0.8121770275469277
1,2015-05-09,4365,0.590177013123465
1,2015-05-10,4536,0.6842910401857245
1,2015-05-11,915,-1.3086147609396648
1,2015-05-12,1317,-1.0873642411792654
1,2015-05-13,1279,-1.108278469415323
1,2015-05-14,1551,-0.9585766251993313
1,2015-05-15,2101,-0.6558706902037599
1,2015-05-16,5106,0.9980044637265895
1,2015-05-17,6256,1.630935055080966
1,2015-05-18,1154,-1.1770752728234075
1,2015-05-19,1470,-1.00315695380777
1,2015-05-20,1593,-0.9354608992542149
1,2015-05-21,1805,-0.8187815206741038
1,2015-05-22,2255,-0.5711130284049999
1,2015-05-23,3312,0.010632741213761919
1,2015-05-24,3361,0.03760108814973101
1,2015-05-25,2433,-0.4731463803518877
1,2015-05-26,957,-1.2854990349945485
1,2015-05-27,1218,-1.1418513094784681
1,2015-05-28,1528,-0.9712352370264189
1,2015-05-29,2077,-0.6690796764581121
1,2015-05-30,4724,0.7877614325114835
1,2015-05-31,5379,1.148256682369846
1,2015-06-01,1488,-0.9932502141170059
1,2015-06-02,1497,-0.9882968442716238
1,2015-06-03,1368,-1.059295145388767
1,2015-06-04,1741,-0.854005484019043
1,2015-06-05,2344,-0.5221297043784437
1,2015-06-06,4720,0.7855599348024248
1,2015-06-07,5675,1.3111675128401896
1,2015-06-08,1279,-1.108278469415323
1,2015-06-09,1214,-1.1440528071875269
1,2015-06-10,1338,-1.075806378206707
1,2015-06-11,1644,-0.9073918034637165
1,2015-06-12,2359,-0.5138740879694736
1,2015-06-13,4690,0.7690487019844845
1,2015-06-14,5164,1.0299261805079407
1,2015-06-15,1547,-0.96077812290839
1,2015-06-16,1290,-1.1022243507154117
1,2015-06-17,1599,-0.9321586526906269
1,2015-06-18,1698,-0.877671584391424
1,2015-06-19,2537,-0.4159074399163615
1,2015-06-20,5151,1.0227713129534999
1,2015-06-21,5425,1.173573906024021
1,2015-06-22,1382,-1.0515899034070615
1,2015-06-23,1276,-1.109929592697117
1,2015-06-24,1640,-0.9095933011727753
1,2015-06-25,1791,-0.8264867626558092
1,2015-06-26,2607,-0.3773812300078342
1,2015-06-27,5717,1.334283238785306
1,2015-06-28,6638,1.841178086296072
1,2015-06-29,1503,-0.9849945977080358
1,2015-06-30,1316,-1.08791461560653
2,2015-01-01,7171,2.134527656028144
2,2015-01-02,435,-1.572794486026709
2,2015-01-03,1261,-1.118185209106087
2,2015-01-04,1497,-0.9882968442716238
2,2015-01-05,283,-1.6564513989709397
2,2015-01-06,346,-1.6217778100532652
2,2015-01-07,376,-1.605266577235325
2,2015-01-08,482,-1.5469268879452693
2,2015-01-09,589,-1.488036824227949
2,2015-01-10,2051,-0.6833894115669936
2,2015-01-11,2925,-0.20236216213766745
2,2015-01-12,304,-1.6448935359983814
2,2015-01-13,345,-1.6223281844805297
2,2015-01-14,466,-1.5557328787815041
2,2015-01-15,467,-1.5551825043542393
2,2015-01-16,712,-1.420340769674394
2,2015-01-17,2144,-0.6322045898313788
2,2015-01-18,2679,-0.3377542712447776
2,2015-01-19,783,-1.381264185338602
2,2015-01-20,367,-1.6102199470807068
2,2015-01-21,455,-1.5617869974814156
2,2015-01-22,433,-1.5738952348812383
2,2015-01-23,737,-1.406581408992777
2,2015-01-24,3050,-0.13356535872958303
2,2015-01-25,2903,-0.21447039953749028
2,2015-01-26,331,-1.6300334264622351
2,2015-01-28,335,-1.6278319287531766
2,2015-01-29,423,-1.5793989791538852
2,2015-01-30,800,-1.3719078200751025
2,2015-01-31,2615,-0.3729782345897168
2,2015-02-01,3279,-0.007529614885972367
2,2015-02-02,534,-1.5183074177275062
2,2015-02-03,472,-1.552430632217916
2,2015-02-04,476,-1.5502291345088572
2,2015-02-05,538,-1.5161059200184475
2,2015-02-06,895,-1.3196222494849583
2,2015-02-07,2297,-0.5479973024598835
2,2015-02-08,3184,-0.05981518547611652
2,2015-02-09,367,-1.6102199470807068
2,2015-02-10,455,-1.5617869974814156
2,2015-02-11,527,-1.522160038718359
2,2015-02-12,598,-1.4830834543825668
2,2015-02-13,1307,-1.092867985451912
2,2015-02-14,3236,-0.031195715258353407
2,2015-02-15,3369,0.04200408356784841
2,2015-02-16,1598,-0.9327090271178916
2,2015-02-17,576,-1.4951916917823898
2,2015-02-18,664,-1.4467587421830983
2,2015-02-19,699,-1.4274956372288348
2,2015-02-20,1068,-1.2244074735681696
2,2015-02-21,2581,-0.39169096511671575
2,2015-02-22,3511,0.12015725223943231
2,2015-02-23,495,-1.5397720203908285
2,2015-02-24,538,-1.5161059200184475
2,2015-02-25,596,-1.4841842032370962
2,2015-02-26,659,-1.4495106143194216
2,2015-02-27,967,-1.2799952907219017
2,2015-02-28,2561,-0.40269845366200924
2,2015-03-01,3245,-0.026242345412971328
2,2015-03-02,467,-1.5551825043542393
2,2015-03-03,477,-1.5496787600815927
2,2015-03-04,489,-1.5430742669544166
2,2015-03-05,697,-1.4285963860833641
